98922941 function calls (84103311 primitive calls) in 94.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17280    0.050    0.000    0.655    0.000 transforms.py:1391(contains_branch)
      135    0.049    0.000    0.049    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
    27981    0.049    0.000    0.278    0.000 lines.py:75(_scale_dashes)
    36843    0.048    0.000    0.050    0.000 {built-in method builtins.max}
13046/10442    0.047    0.000    0.883    0.000 _base.py:836(_unstale_viewLim)
     6521    0.047    0.000    0.227    0.000 font_manager.py:602(__init__)
    10003    0.047    0.000    0.641    0.000 transforms.py:1482(transform)
     4895    0.047    0.000    0.087    0.000 ipkernel.py:790(<setcomp>)
    20460    0.046    0.000    0.268    0.000 fromnumeric.py:2255(sum)
     2160    0.046    0.000    3.593    0.002 _axes.py:834(axvline)
    22849    0.046    0.000    0.052    0.000 {built-in method builtins.min}
    13931    0.046    0.000    0.142    0.000 fromnumeric.py:89(_wrapreduction_any_all)
     4464    0.046    0.000    0.426    0.000 cbook.py:732(safe_masked_invalid)
     2160    0.046    0.000    3.672    0.002 _axes.py:765(axhline)
     1340    0.046    0.000    0.388    0.000 bezier.py:283(axis_aligned_extrema)
      144    0.045    0.000    0.045    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    29201    0.045    0.000    0.146    0.000 side_modification_util.py:107(turn_connection)
    18259    0.045    0.000    0.285    0.000 lines.py:647(set_data)
      346    0.045    0.000    0.045    0.000 {built-in method torch.nan_to_num}
      135    0.045    0.000    0.045    0.000 {built-in method torch._C._nn.mse_loss}
     4320    0.044    0.000    0.466    0.000 cm.py:434(set_array)
     2420    0.044    0.000    0.892    0.000 text.py:918(get_window_extent)
    19355    0.044    0.000    1.528    0.000 artist.py:1220(set)
    19130    0.043    0.000    0.118    0.000 cbook.py:2380(_unpack_to_numpy)
    41271    0.043    0.000    0.151    0.000 artist.py:269(convert_xunits)
     6567    0.043    0.000    0.143    0.000 transforms.py:859(update_from_path)
21888/19872    0.043    0.000    0.073    0.000 {method 'view' of 'numpy.generic' objects}
     2144    0.043    0.000    0.109    0.000 _linalg.py:1101(eigvals)
    15732    0.043    0.000    0.097    0.000 cbook.py:1748(_safe_first_finite)
     6004    0.042    0.000    0.042    0.000 {built-in method numpy.empty}
     2144    0.042    0.000    0.220    0.000 _polynomial_impl.py:161(roots)
35322/35178    0.042    0.000    0.142    0.000 transforms.py:2609(get_matrix)
    17155    0.041    0.000    0.235    0.000 transforms.py:2008(rotate_deg)
    34265    0.041    0.000    0.041    0.000 threading.py:1109(ident)
    95487    0.041    0.000    0.041    0.000 transforms.py:1939(get_matrix)
    35835    0.041    0.000    0.256    0.000 {method 'all' of 'numpy.ndarray' objects}
    18407    0.041    0.000    0.090    0.000 markers.py:275(_set_fillstyle)
    17414    0.041    0.000    0.752    0.000 transforms.py:2172(__eq__)
    12133    0.040    0.000    0.080    0.000 lines.py:1408(set_dash_capstyle)
      135    0.040    0.000    0.040    0.000 {built-in method torch._foreach_sqrt}
     8640    0.040    0.000    0.715    0.000 transforms.py:2180(contains_branch_seperately)
    19355    0.039    0.000    1.567    0.000 artist.py:147(<lambda>)
    56355    0.039    0.000    0.076    0.000 {method '__contains__' of 'set' objects}
    14845    0.039    0.000    0.063    0.000 cbook.py:1377(is_math_text)
    74766    0.039    0.000    0.039    0.000 transforms.py:1049(get_points)
     5040    0.039    0.000    0.354    0.000 core.py:1852(masked_where)
   145671    0.039    0.000    0.039    0.000 coordinate.py:7(__eq__)
     4652    0.039    0.000    0.039    0.000 getlimits.py:592(smallest_normal)
    55880    0.038    0.000    0.103    0.000 transforms.py:1365(_iter_break_from_left_to_right)
1459/1027    0.038    0.000    4.011    0.004 axis.py:455(__init__)
     4396    0.038    0.000    0.087    0.000 artist.py:1152(update_from)
    14741    0.038    0.000    0.629    0.000 patches.py:924(get_bbox)
